doctor,eeg
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM2,9
NonREM3,10
NonREM3,10
NonREM3,10
NonREM3,10
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,11
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,13
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,12
NonREM3,13
NonREM3,13
NonREM3,13
Wake,15
NonREM1,14
NonREM1,15
Wake,13
NonREM1,12
NonREM1,12
NonREM1,10
NonREM2,9
NonREM2,7
REM,6
REM,6
REM,5
REM,5
REM,5
REM,6
REM,6
REM,7
REM,8
REM,8
REM,7
REM,6
REM,5
REM,5
REM,4
REM,4
REM,4
REM,4
REM,5
REM,4
REM,5
REM,4
REM,4
REM,4
REM,3
REM,3
REM,3
REM,3
REM,3
REM,3
REM,3
REM,3
REM,2
REM,2
REM,2
REM,2
REM,3
REM,3
REM,4
REM,5
REM,5
REM,5
Wake,6
NonREM1,6
NonREM1,5
NonREM1,5
Wake,5
Wake,6
NonREM1,6
NonREM1,6
NonREM1,8
NonREM1,8
NonREM1,8
NonREM1,7
NonREM1,7
NonREM2,7
NonREM2,6
NonREM2,6
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,9
NonREM2,10
NonREM2,9
Wake,10
NonREM1,10
NonREM1,10
Wake,8
NonREM1,7
NonREM1,7
NonREM2,5
NonREM2,6
NonREM2,5
NonREM2,5
NonREM2,5
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,7
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,7
NonREM2,6
NonREM2,6
NonREM2,6
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,7
NonREM2,8
NonREM2,8
NonREM2,8
NonREM2,7
NonREM2,7
NonREM2,8
NonREM2,8
